3553,Police Report
3554,To receive apologies for absence
3555,Public Session (15 mins) to receive & consider any matters raised by members of the public for future consideration.
3556,Declarations of interest for items on the agenda
3557,To receive & approve minutes of previous meeting 
3558,To receive Financial Report 
3559,To consider & approve accounts for payment:-
,Merlin Environmental Services Ltd
,Clerk’s Salary & Expenses 
3560,To discuss Planning Applications
3561,Matters Arising from Minutes
3562,To receive Reports from outside bodies:-
,Schools 
,Tintern & Llandogo Churches
,Village Halls
3563,Reports from Sub-Committees:- Finance
3564,Discuss replacement of some benches in Tintern
3565,Maintenance of the planters
3566,Correspondence
3567,Any Other Business
3568,Date of next meeting
